score,name
91,hsa-miR-141-3p
91,hsa-miR-1305
91,hsa-miR-29a-3p
90,hsa-miR-653-5p
90,hsa-miR-4760-3p
90,hsa-miR-513b-3p
90,hsa-miR-4524b-5p
90,hsa-miR-4524a-5p
90,hsa-miR-758-5p
90,hsa-miR-302e
90,hsa-miR-219a-1-3p
90,hsa-miR-6869-5p
90,hsa-miR-200a-3p
90,hsa-miR-3065-3p
90,hsa-miR-194-5p
89,hsa-miR-1279
89,hsa-miR-4642
89,hsa-miR-3182
89,hsa-miR-3065-5p
89,hsa-miR-152-3p
89,hsa-miR-148b-3p
89,hsa-miR-148a-3p
89,hsa-miR-451b
89,hsa-miR-3120-3p
89,hsa-miR-510-3p
89,hsa-miR-548p
89,hsa-miR-6509-5p
89,hsa-miR-335-3p
89,hsa-miR-3613-5p
89,hsa-miR-330-3p
88,hsa-miR-6515-3p
88,hsa-miR-33a-3p
88,hsa-miR-3149
88,hsa-miR-3671
88,hsa-miR-298
88,hsa-miR-125b-2-3p
88,hsa-miR-216b-3p
88,hsa-miR-3185
88,hsa-miR-6844
88,hsa-miR-3912-5p
88,hsa-miR-411-5p
88,hsa-miR-374a-3p
87,hsa-miR-8075
87,hsa-miR-4282
87,hsa-miR-4659b-3p
87,hsa-miR-4659a-3p
87,hsa-miR-4724-3p
87,hsa-miR-624-5p
87,hsa-miR-548aw
87,hsa-miR-497-3p
87,hsa-miR-375-3p
87,hsa-miR-3123
87,hsa-miR-548l
86,hsa-miR-4742-3p
86,hsa-miR-4262
86,hsa-miR-2052
86,hsa-miR-4504
86,hsa-miR-603
86,hsa-miR-493-5p
86,hsa-miR-222-5p
86,hsa-miR-802
86,hsa-miR-582-3p
86,hsa-miR-6124
86,hsa-miR-412-3p
86,hsa-miR-8054
86,hsa-miR-548k
86,hsa-miR-548av-5p
86,hsa-miR-548j-3p
86,hsa-miR-5003-5p
85,hsa-miR-676-5p
85,hsa-miR-570-5p
85,hsa-miR-548ba
85,hsa-miR-548ai
85,hsa-miR-548ag
85,hsa-miR-4527
85,hsa-miR-675-3p
85,hsa-miR-5684
85,hsa-miR-548t-3p
85,hsa-miR-548ap-3p
85,hsa-miR-548aa
85,hsa-miR-3692-3p
85,hsa-miR-4753-3p
85,hsa-miR-585-5p
85,hsa-miR-107
85,hsa-miR-103a-3p
84,hsa-miR-4766-3p
84,hsa-miR-6754-3p
84,hsa-miR-664b-3p
84,hsa-miR-579-3p
84,hsa-miR-548t-5p
84,hsa-miR-548az-5p
84,hsa-miR-3159
84,hsa-miR-4778-5p
84,hsa-miR-449b-3p
84,hsa-miR-4501
84,hsa-miR-7978
84,hsa-miR-548n
84,hsa-miR-548aq-3p
84,hsa-miR-548am-3p
84,hsa-miR-548ah-3p
84,hsa-miR-548ae-3p
84,hsa-miR-548g-3p
83,hsa-miR-6503-5p
83,hsa-miR-5682
83,hsa-miR-548x-5p
83,hsa-miR-548g-5p
83,hsa-miR-548aj-5p
83,hsa-miR-101-3p
83,hsa-miR-7157-5p
83,hsa-miR-4452
83,hsa-miR-139-5p
83,hsa-miR-4744
83,hsa-miR-2054
83,hsa-miR-4703-5p
83,hsa-miR-3925-5p
83,hsa-miR-513c-3p
83,hsa-miR-513a-3p
83,hsa-miR-4717-3p
83,hsa-miR-4735-5p
82,hsa-miR-3674
82,hsa-miR-1256
82,hsa-miR-142-5p
82,hsa-miR-6800-5p
82,hsa-miR-577
82,hsa-miR-548x-3p
82,hsa-miR-548aj-3p
82,hsa-miR-605-5p
82,hsa-miR-503-5p
82,hsa-miR-936
82,hsa-miR-5590-3p
82,hsa-miR-153-3p
82,hsa-miR-5696
82,hsa-miR-552-5p
82,hsa-miR-197-3p
82,hsa-miR-6805-3p
82,hsa-miR-5691
81,hsa-miR-548e-5p
81,hsa-miR-548f-5p
81,hsa-miR-6875-3p
81,hsa-miR-584-3p
81,hsa-miR-485-3p
81,hsa-miR-103b
81,hsa-miR-6866-5p
81,hsa-miR-7851-3p
81,hsa-miR-4528
81,hsa-miR-539-3p
81,hsa-miR-8063
81,hsa-miR-885-5p
81,hsa-miR-634
81,hsa-miR-4677-3p
81,hsa-miR-183-3p
81,hsa-miR-5195-3p
81,hsa-miR-145-5p
81,hsa-miR-624-3p
81,hsa-miR-548at-5p
81,hsa-miR-302d-3p
81,hsa-miR-302c-3p
81,hsa-miR-302b-3p
81,hsa-miR-302a-3p
81,hsa-miR-3529-3p
81,hsa-miR-3973
81,hsa-miR-7108-5p
81,hsa-miR-6728-3p
81,hsa-miR-325
80,hsa-miR-595
